movie_id,movie_title_year,year
21406,Sono yo no tsuma (1930),1930
21577,L'âge d'or (1930),1930
21746,Cimarron (1931),1931
21749,City Lights (1931),1931
21814,Dracula (1931),1931
21884,Frankenstein (1931),1931
22100,M (1931),1931
22279,Private Lives (1931),1931
22458,Tabu: A Story of the South Seas (1931),1931
22792,The Crowd Roars (1932),1932
22834,Downstairs (1932),1932
22913,Freaks (1932),1932
22958,Grand Hotel (1932),1932
23158,Love Me Tonight (1932),1932
23194,The Mask of Fu Manchu (1932),1932
23238,The Most Dangerous Game (1932),1932
23249,Murders in the Rue Morgue (1932),1932
23251,The Music Box (1932),1932
23266,Night After Night (1932),1932
23305,One Way Passage (1932),1932
23349,Polly of the Circus (1932),1932
23427,Scarface (1932),1932
23563,Das Testament des Dr. Mabuse (1933),1933
23634,Otona no miru ehon - Umarete wa mita keredo (1932),1932
23642,Union Depot (1932),1932
23649,Vampyr (1932),1932
23685,The Wet Parade (1932),1932
23694,White Zombie (1932),1932
23817,Blondie Johnson (1933),1933
23876,Cavalcade (1933),1933
23902,El compadre Mendoza (1934),1934
23937,Dekigokoro (1933),1933
23969,Duck Soup (1933),1933
24092,Havana Widows (1933),1933
24166,I'm No Angel (1933),1933
24184,The Invisible Man (1933),1933
24188,Island of Lost Souls (1932),1932
24216,King Kong (1933),1933
24353,Morning Glory (1933),1933
24660,Three Little Pigs (1933),1933
24803,Zéro de conduite: Jeunes diables au collège (1933),1933
24831,Anne of Green Gables (1934),1934
24844,L'Atalante (1934),1934
24894,The Black Cat (1934),1934
25132,Forsaking All Others (1934),1934
25263,Hollywood Party (1934),1934
25290,I've Got Your Number (1934),1934
25316,It Happened One Night (1934),1934
25330,Jimmy the Gent (1934),1934
25409,The Little Minister (1934),1934
25452,The Man Who Knew Too Much (1934),1934
25456,Man of Aran (1934),1934
25461,Mandalay (1934),1934
25494,Merry Wives of Reno (1934),1934
25586,Of Human Bondage (1934),1934
25590,The Old Fashioned Way (1934),1934
25803,Smarty (1934),1934
25878,The Thin Man (1934),1934
26029,The 39 Steps (1935),1935
26138,Bride of Frankenstein (1935),1935
26202,Cheer Up (1936),1936
26721,Miss Pacific Fleet (1935),1935
26752,Mutiny on the Bounty (1935),1935
26912,The Raven (1935),1935
27075,A Tale of Two Cities (1935),1935
27089,Thicker Than Water (1935),1935
27125,Top Hat (1935),1935
27133,Traveling Saleslady (1935),1935
27331,Banjo on My Knee (1936),1936
27652,Fury (1936),1936
27686,Gold Diggers of 1937 (1936),1936
27698,The Great Ziegfeld (1936),1936
27752,Hitori musuko (1936),1936
27800,The Invisible Ray (1936),1936
27977,Modern Times (1936),1936
28212,Sabotage (1936),1936
28358,Things to Come (1936),1936
28597,The Awful Truth (1937),1937
28950,La grande illusion (1937),1937
29146,The Life of Emile Zola (1937),1937
29201,The Man Who Could Work Miracles (1936),1936
29539,Seventh Heaven (1937),1937
29583,Snow White and the Seven Dwarfs (1937),1937
29658,They Won't Forget (1937),1937
29725,Varsity Show (1937),1937
29747,Way Out West (1937),1937
29843,The Adventures of Robin Hood (1938),1938
29850,Aleksandr Nevskiy (1938),1938
29892,The Bad Man of Brimstone (1937),1937
29947,Bringing Up Baby (1938),1938
30341,The Lady Vanishes (1938),1938
30413,Mannequin (1937),1937
30637,Pygmalion (1938),1938
30643,Le quai des brumes (1938),1938
30732,Service de Luxe (1938),1938
30848,Test Pilot (1938),1938
30922,Vacation from Love (1938),1938
31022,The Adventures of Sherlock Holmes (1939),1939
31055,The Arsenal Stadium Mystery (1939),1939
31143,The Cat and the Canary (1939),1939
31235,Dodge City (1939),1939
31252,Drums Along the Mohawk (1939),1939
31322,The Flying Deuces (1939),1939
31334,The Four Feathers (1939),1939
31381,Gone with the Wind (1939),1939
31385,"Goodbye, Mr. Chips (1939)",1939
31448,The Hound of the Baskervilles (1939),1939
31580,The Little Princess (1939),1939
31602,Made for Each Other (1939),1939
31679,Mr. Smith Goes to Washington (1939),1939
31742,Of Mice and Men (1939),1939
31828,The Proud Valley (1940),1940
31885,La règle du jeu (1939),1939
31971,Stagecoach (1939),1939
32138,The Wizard of Oz (1939),1939
32145,Wuthering Heights (1939),1939
32155,Young Mr. Lincoln (1939),1939
32194,"All This, and Heaven Too (1940)",1940
32258,Black Friday (1940),1940
32290,Buck Rogers (1939),1939
32339,A Chump at Oxford (1940),1940
32455,Fantasia (1940),1940
32551,The Grapes of Wrath (1940),1940
32553,The Great Dictator (1940),1940
32599,His Girl Friday (1940),1940
32762,The Mark of Zorro (1940),1940
32842,Night Train to Munich (1940),1940
32904,The Philadelphia Story (1940),1940
32910,Pinocchio (1940),1940
32946,Primrose Path (1940),1940
32976,Rebecca (1940),1940
33028,The Sea Hawk (1940),1940
33045,The Shop Around the Corner (1940),1940
33105,Strange Cargo (1940),1940
33149,They Drive by Night (1940),1940
33152,The Thief of Bagdad (1940),1940
33234,Wagon Train (1940),1940
33373,Ball of Fire (1941),1941
33467,Citizen Kane (1941),1941
33517,A Date with the Falcon (1942),1942
33558,Dressed to Kill (1941),1941
33563,Dumbo (1941),1941
33650,The Gay Falcon (1941),1941
33804,The Lady Eve (1941),1941
33836,The Little Foxes (1941),1941
33867,Maisie Was a Lady (1941),1941
33870,The Maltese Falcon (1941),1941
33874,The Man Who Came to Dinner (1942),1942
33922,Mr. & Mrs. Smith (1941),1941
33945,Never Give a Sucker an Even Break (1941),1941
34167,Sergeant York (1941),1941
34175,The Shanghai Gesture (1941),1941
34204,The Smiling Ghost (1941),1941
34232,Steel Against the Sky (1941),1941
34236,The Strawberry Blonde (1941),1941
34240,Sullivan's Travels (1941),1941
34248,Suspicion (1941),1941
34386,When Ladies Meet (1941),1941
34428,Across the Pacific (1942),1942
34458,Andy Hardy's Double Life (1942),1942
34478,L'assassin habite... au 21 (1942),1942
34492,Bambi (1942),1942
34522,The Black Swan (1942),1942
34583,Casablanca (1942),1942
34587,Cat People (1942),1942
34716,The Falcon Takes Over (1942),1942
34717,The Falcon's Brother (1942),1942
34734,The First of the Few (1942),1942
34862,Holiday Inn (1942),1942
35015,The Magnificent Ambersons (1942),1942
35017,La main du diable (1943),1943
35093,Mrs. Miniver (1942),1942
35140,"Now, Voyager (1942)",1942
35153,One of Our Aircraft Is Missing (1942),1942
35279,Saboteur (1942),1942
35317,Sherlock Holmes and the Secret Weapon (1942),1942
35318,Sherlock Holmes and the Voice of Terror (1942),1942
35417,The Talk of the Town (1942),1942
35423,Kate & Leopold (2001),2001
35446,To Be or Not to Be (1942),1942
35521,Les visiteurs du soir (1942),1942
35575,Yankee Doodle Dandy (1942),1942
35583,You Were Never Lovelier (1942),1942
35616,Air Force (1943),1943
35733,Chicken Little (1943),1943
35798,The Desperadoes (1943),1943
35854,The Falcon Strikes Back (1943),1943
35855,The Falcon and the Co-eds (1943),1943
35856,The Falcon in Danger (1943),1943
35884,Five Graves to Cairo (1943),1943
36027,I Walked with a Zombie (1943),1943
36098,Lassie Come Home (1943),1943
36112,The Life and Death of Colonel Blimp (1943),1943
36126,Madame Curie (1943),1943
36154,Meshes of the Afternoon (1943),1943
36189,Mystery of the 13th Guest (1943),1943
36217,The North Star (1943),1943
36261,Phantom of the Opera (1943),1943
36342,Shadow of a Doubt (1943),1943
36349,Sherlock Holmes in Washington (1943),1943
36506,Vredens dag (1943),1943
36515,Watch on the Rhine (1943),1943
36613,Arsenic and Old Lace (1944),1944
36625,Barbary Coast Gent (1944),1944
36641,Between Two Worlds (1944),1944
36775,Double Indemnity (1944),1944
36777,Dragon Seed (1944),1944
36810,The Falcon in Hollywood (1944),1944
36855,Gaslight (1944),1944
36868,The Best Years of Our Lives (1946),1946
36914,Hets (1944),1944
36940,I'll Be Seeing You (1944),1944
36969,Jane Eyre (1943),1943
37008,Laura (1944),1944
37017,Lifeboat (1944),1944
37075,Ministry of Fear (1944),1944
37101,"Murder, My Sweet (1944)",1944
37120,National Velvet (1944),1944
37318,Strangers in the Night (1944),1944
37382,To Have and Have Not (1944),1944
37469,The Woman in the Window (1944),1944
37494,Adventure (1945),1945
37514,Anchors Aweigh (1945),1945
37536,The Bells of St. Mary's (1945),1945
37549,The Body Snatcher (1945),1945
37558,Brief Encounter (1945),1945
37638,Detour (1945),1945
37690,The Falcon in San Francisco (1945),1945
37865,Leave Her to Heaven (1945),1945
37884,The Lost Weekend (1945),1945
38109,Spellbound (1945),1945
38213,The Valley of Decision (1945),1945
38279,13 Rue Madeleine (1947),1947
38289,I See a Dark Stranger (1946),1946
38355,The Big Sleep (1946),1946
38363,Blithe Spirit (1945),1945
38369,The Blue Dahlia (1946),1946
38461,Deception (1946),1946
38492,Dragonwyck (1946),1946
38559,Gilda (1946),1946
38574,Great Expectations (1946),1946
38650,It's a Wonderful Life (1946),1946
38727,Margie (1946),1946
38733,A Matter of Life and Death (1946),1946
38777,A Night in Casablanca (1946),1946
38787,Notorious (1946),1946
38854,The Postman Always Rings Twice (1946),1946
38890,"Roma, città aperta (1945)",1945
38937,Shock (1946),1946
38984,A Stolen Life (1946),1946
38988,The Strange Love of Martha Ivers (1946),1946
38991,The Stranger (1946),1946
39192,Black Narcissus (1947),1947
39294,Daisy Kenyon (1947),1947
39340,Dreams That Money Can Buy (1947),1947
39416,Gentleman's Agreement (1947),1947
39417,Germania anno zero (1948),1948
39428,Golden Earrings (1947),1947
39589,Lured (1947),1947
39594,The Magic Bow (1946),1946
39595,Magic Town (1947),1947
39631,Monsieur Verdoux (1947),1947
39677,Odd Man Out (1947),1947
39689,Out of the Past (1947),1947
39694,The Paradine Case (1947),1947
39743,Queen of the Amazons (1947),1947
39761,Repeat Performance (1947),1947
39822,Le silence de la mer (1949),1949
39834,Skepp till India land (1947),1947
40068,Bud Abbott Lou Costello Meet Frankenstein (1948),1948
40202,Call Northside 777 (1948),1948
40242,Command Decision (1948),1948
40271,A Date with Judy (1948),1948
40308,Easter Parade (1948),1948
40499,June Bride (1948),1948
40505,Kaze no naka no mendori (1948),1948
40506,Key Largo (1948),1948
40522,Ladri di biciclette (1948),1948
40525,The Lady from Shanghai (1947),1947
40559,La macchina ammazzacattivi (1952),1952
40636,The Naked City (1948),1948
40662,Oliver Twist (1948),1948
40725,The Red Shoes (1948),1948
40746,Rope (1948),1948
40751,Ruthless (1948),1948
40806,The Snake Pit (1948),1948
40897,The Treasure of the Sierra Madre (1948),1948
40979,Yoidore tenshi (1948),1948
41082,A-Haunting We Will Go (1949),1949
41085,"Abbott and Costello Meet the Killer, Boris Karloff (1949)",1949
41094,The Adventures of Ichabod and Mr. Toad (1949),1949
41113,All the King's Men (1949),1949
41175,The Big Cat (1949),1949
41238,Challenge to Lassie (1949),1949
41300,The Doctor and the Girl (1949),1949
41387,Francis (1950),1950
41423,El gran calavera (1949),1949
41507,In the Good Old Summertime (1949),1949
41546,Kind Hearts and Coronets (1949),1949
41587,A Letter to Three Wives (1949),1949
41652,Miss Grant Takes Richmond (1949),1949
41699,Nora inu (1949),1949
41716,On the Town (1949),1949
41718,One Last Fling (1949),1949
41719,Orphée (1950),1950
41737,Passport to Pimlico (1949),1949
41761,Port of New York (1949),1949
41841,Sands of Iwo Jima (1949),1949
41944,Take Me Out to the Ball Game (1949),1949
41955,That Forsyte Woman (1949),1949
41959,The Third Man (1949),1949
41996,Twelve O'Clock High (1949),1949
42004,Under Capricorn (1949),1949
42041,White Heat (1949),1949
42179,Abbott and Costello in the Foreign Legion (1950),1950
42192,All About Eve (1950),1950
42208,The Asphalt Jungle (1950),1950
42332,Cinderella (1950),1950
42393,Destination Moon (1950),1950
42530,Deadly Is the Female (1950),1950
42546,Harvey (1950),1950
42593,In a Lonely Place (1950),1950
42634,Key to the City (1950),1950
42788,Night and the City (1950),1950
42792,No Way Out (1950),1950
42819,Our Very Own (1950),1950
42876,Rashômon (1950),1950
42994,Stage Fright (1950),1950
43014,Sunset Blvd. (1950),1950
43132,Where the Sidewalk Ends (1950),1950
43137,Winchester '73 (1950),1950
43265,The African Queen (1951),1951
43274,Alice in Wonderland (1951),1951
43338,Ace in the Hole (1951),1951
43456,The Day the Earth Stood Still (1951),1951
43461,The Desert Fox: The Story of Rommel (1951),1951
43511,Europa '51 (1952),1952
43547,Flying Leathernecks (1951),1951
43548,Flying Padre: An RKO-Pathe Screenliner (1951),1951
43618,Happy Go Lovely (1951),1951
43728,The Law and the Lady (1951),1951
43778,The Man from Planet X (1951),1951
43809,Miracolo a Milano (1951),1951
43813,The Model and the Marriage Broker (1951),1951
43827,My Favorite Spy (1951),1951
43859,No Highway (1951),1951
43915,People Will Talk (1951),1951
43924,A Place in the Sun (1951),1951
43949,Quo Vadis (1951),1951
44000,Lo sceicco bianco (1952),1952
44079,Strangers on a Train (1951),1951
44081,A Streetcar Named Desire (1951),1951
44314,5 Fingers (1952),1952
44391,The Bad and the Beautiful (1952),1952
44453,El bruto (1953),1953
44515,Cosh Boy (1953),1953
44672,The Greatest Show on Earth (1952),1952
44685,Hans Christian Andersen (1952),1952
44706,High Noon (1952),1952
44741,Ikiru (1952),1952
44760,Ivanhoe (1952),1952
44789,Kansas City Confidential (1952),1952
44837,Limelight (1952),1952
44876,The Man in the White Suit (1951),1951
44916,Monkey Business (1952),1952
44926,Moulin Rouge (1952),1952
45061,The Quiet Man (1952),1952
45152,Singin' in the Rain (1952),1952
45186,The Star (1952),1952
45190,The Steel Trap (1952),1952
45192,The Stooge (1952),1952
45223,One Way Ticket to Hell (1955),1955
45274,Umberto D. (1952),1952
45361,El (1953),1953
45464,"The 5,000 Fingers of Dr. T. (1953)",1953
45518,Arrowhead (1953),1953
45537,The Band Wagon (1953),1953
45555,The Big Heat (1953),1953
45591,Calamity Jane (1953),1953
45592,Call Me Madam (1953),1953
45607,The Captain's Paradise (1953),1953
45709,Duck Dodgers in the 24½th Century (1953),1953
45758,Fear and Desire (1953),1953
45793,From Here to Eternity (1953),1953
45810,Gentlemen Prefer Blondes (1953),1953
45826,Glen or Glenda (1953),1953
45888,House of Wax (1953),1953
45891,How to Marry a Millionaire (1953),1953
45907,La ilusión viaja en tranvía (1954),1954
45943,Julius Caesar (1953),1953
46022,Madame de... (1953),1953
46040,Man on a Tightrope (1953),1953
46126,Niagara (1953),1953
46159,"Pane, amore e fantasia (1953)",1953
46183,Peter Pan (1953),1953
46194,The Pleasure Garden (1953),1953
46250,Roman Holiday (1953),1953
46268,Le salaire de la peur (1953),1953
46359,Stalag 17 (1953),1953
46414,Beat the Devil (1953),1953
46435,Titanic (1953),1953
46438,Tôkyô monogatari (1953),1953
46478,Ugetsu monogatari (1953),1953
46521,I vitelloni (1953),1953
46534,The War of the Worlds (1953),1953
46688,Ah! Les belles bacchantes (1954),1954
46714,Angels One Five (1952),1952
46754,The Barefoot Contessa (1954),1954
46766,The Belles of St. Trinian's (1954),1954
46806,The Bridges at Toko-Ri (1954),1954
46816,The Caine Mutiny (1954),1954
46876,Creature from the Black Lagoon (1954),1954
46889,The Dam Busters (1955),1955
46911,Les diaboliques (1955),1955
46912,Dial M for Murder (1954),1954
46969,The Fast and the Furious (1955),1955
47034,Gojira (1954),1954
47136,Johnny Guitar (1954),1954
47203,Magnificent Obsession (1954),1954
47296,On the Waterfront (1954),1954
47396,Rear Window (1954),1954
47437,Sabrina (1954),1954
47445,Sanshô dayû (1954),1954
47478,Shichinin no samurai (1954),1954
47522,A Star Is Born (1954),1954
47528,La strada (1954),1954
47542,Suddenly (1954),1954
47573,Them! (1954),1954
47577,This Island Earth (1955),1955
47669,West of Zanzibar (1954),1954
47677,The Wild One (1953),1953
47811,All That Heaven Allows (1955),1955
47892,Bob le flambeur (1956),1956
48021,Du rififi chez les hommes (1955),1955
48028,East of Eden (1955),1955
48037,Ensayo de un crimen (1955),1955
48078,Five Guns West (1955),1955
48140,Guys and Dolls (1955),1955
48182,House of Bamboo (1955),1955
48233,Jubal (1956),1956
48254,Killer's Kiss (1955),1955
48261,Kiss Me Deadly (1955),1955
48280,Lady and the Tramp (1955),1955
48363,Les maîtres fous (1955),1955
48380,Mister Roberts (1955),1955
48393,Mr. Arkadin (1955),1955
48394,Muerte de un ciclista (1955),1955
48424,The Night of the Hunter (1955),1955
48434,Nuit et brouillard (1955),1955
48445,Oklahoma! (1955),1955
48452,Ordet (1955),1955
48473,Pather Panchali (1955),1955
48543,Razzia sur la Chnouf (1955),1955
48545,Rebel Without a Cause (1955),1955
48605,The Seven Year Itch (1955),1955
48623,Sincerely Yours (1955),1955
48651,Spionage (1955),1955
48696,Tarantula (1955),1955
48728,To Catch a Thief (1955),1955
48750,The Trouble with Harry (1955),1955
48947,Anastasia (1956),1956
48956,Aparajito (1956),1956
48977,The Bad Seed (1956),1956
48980,Le ballon rouge (1956),1956
48983,Bandido (1956),1956
49038,Bus Stop (1956),1956
49055,Carousel (1956),1956
49170,The Eddy Duchin Story (1956),1956
49207,Il ferroviere (1956),1956
49223,Forbidden Planet (1956),1956
49261,Giant (1956),1956
49301,Helen of Troy (1956),1956
49314,High Society (1956),1956
49406,The Killing (1956),1956
49470,The Man Who Knew Too Much (1956),1956
49516,The Mole People (1956),1956
49615,"The Phantom from 10,000 Leagues (1955)",1955
49656,Ransom! (1956),1956
49730,The Searchers (1956),1956
49778,Somebody Up There Likes Me (1956),1956
49833,The Ten Commandments (1956),1956
49866,"Totò, Peppino e... la malafemmina (1956)",1956
49902,Un condamné à mort s'est échappé ou Le vent souffle où il veut (1956),1956
49922,The Violent Years (1956),1956
50083,12 Angry Men (1957),1957
50086,3:10 to Yuma (1957),1957
50105,An Affair to Remember (1957),1957
50111,Ali Baba Bunny (1957),1957
50208,Boy on a Dolphin (1957),1957
50212,The Bridge on the River Kwai (1957),1957
50237,Celui qui doit mourir (1957),1957
50252,China Gate (1957),1957
50356,The Enemy Below (1957),1957
50371,A Face in the Crowd (1957),1957
50397,Fire Down Below (1957),1957
50398,Fjols til fjells (1957),1957
50419,Funny Face (1957),1957
50468,Gunfight at the O.K. Corral (1957),1957
50556,Jailhouse Rock (1957),1957
50598,A King in New York (1957),1957
50613,Kumonosu-jô (1957),1957
50634,Letyat zhuravli (1957),1957
50659,Loving You (1957),1957
50706,Mon oncle (1958),1958
50825,Paths of Glory (1957),1957
50839,Peyton Place (1957),1957
50870,Pyaasa (1957),1957
50963,Shoot-Out at Medicine Bend (1957),1957
50976,Det sjunde inseglet (1957),1957
50986,Smultronstället (1957),1957
51016,The Story of Mankind (1957),1957
51036,Sweet Smell of Success (1957),1957
51201,Witness for the Prosecution (1957),1957
51207,The Wrong Man (1956),1956
51337,The 7th Voyage of Sinbad (1958),1958
51362,Anna Lucasta (1958),1958
51365,Ansiktet (1958),1958
51378,Ascenseur pour l'échafaud (1958),1958
51383,Auntie Mame (1958),1958
51411,The Big Country (1958),1958
51423,Blue Murder at St. Trinian's (1957),1957
51453,Carry on Sergeant (1958),1958
51454,Carve Her Name with Pride (1958),1958
51459,Cat on a Hot Tin Roof (1958),1958
51525,The Defiant Ones (1958),1958
51534,Desire Under the Elms (1958),1958
51622,The Fly (1958),1958
51658,Gigi (1958),1958
51682,El grito de la muerte (1959),1959
51701,Hare-Way to the Stars (1958),1958
51744,House on Haunted Hill (1959),1959
51758,I Want to Live! (1958),1958
51759,I Was Monty's Double (1958),1958
51773,Indiscreet (1958),1958
51792,Jalsaghar (1958),1958
51845,The Last Hurrah (1958),1958
51848,The Law and Jake Wade (1958),1958
51980,Narayama bushiko (1958),1958
51994,A Night to Remember (1958),1958
52077,Plan 9 from Outer Space (1959),1959
52286,Terror from the Year 5000 (1958),1958
52293,Thunder Road (1958),1958
52311,Touch of Evil (1958),1958
52330,Ubiytsy (1956),1956
52357,Vertigo (1958),1958
52365,The Vikings (1958),1958
52556,Les amants (1958),1958
52561,Anatomy of a Murder (1959),1959
52572,Apur Sansar (1959),1959
52602,The Bat (1959),1959
52618,Ben-Hur (1959),1959
52637,The Bloody Brood (1959),1959
52655,A Bucket of Blood (1959),1959
52700,Compulsion (1959),1959
52709,Cover Girl Killer (1959),1959
52738,The Diary of Anne Frank (1959),1959
52832,The Fugitive Kind (1959),1959
52847,Gidget (1959),1959
52854,Goha (1958),1958
52893,"Hiroshima, mon amour (1959)",1959
52905,The Hound of the Baskervilles (1959),1959
52918,Imitation of Life (1959),1959
52948,Journey to the Center of the Earth (1959),1959
53084,The Mouse That Roared (1959),1959
53106,Neotpravlennoye pismo (1959),1959
53114,Ningen no jôken (1959),1959
53115,Ningen no jôken (1959),1959
53125,North by Northwest (1959),1959
53126,North West Frontier (1959),1959
53137,On the Beach (1959),1959
53143,Operation Petticoat (1959),1959
53168,Pickpocket (1959),1959
53172,Pillow Talk (1959),1959
53183,Pork Chop Hill (1959),1959
53198,Les quatre cents coups (1959),1959
53221,Rio Bravo (1959),1959
53258,Segodnya uvolneniya ne budet (1959),1959
53270,Shadows (1959),1959
53285,Sleeping Beauty (1959),1959
53291,Some Like It Hot (1959),1959
53318,"Suddenly, Last Summer (1959)",1959
53459,Les yeux sans visage (1960),1960
53472,À bout de souffle (1960),1960
53604,The Apartment (1960),1960
53619,L'avventura (1960),1960
53716,Cinderfella (1960),1960
53719,The City of the Dead (1960),1960
53729,Comanche Station (1960),1960
53746,Dama s sobachkoj (1960),1960
53765,Devi (1960),1960
53779,La dolce vita (1960),1960
53793,Elmer Gantry (1960),1960
53877,The Grass Is Greener (1960),1960
53925,House of Usher (1960),1960
53935,Ice Cold in Alex (1958),1958
53946,Inherit the Wind (1960),1960
53976,Jungfrukällan (1960),1960
54017,Last Woman on Earth (1960),1960
54021,Let No Man Write My Epitaph (1960),1960
54033,The Little Shop of Horrors (1960),1960
54047,The Magnificent Seven (1960),1960
54067,La maschera del demonio (1960),1960
54130,La notte (1961),1961
54135,Ocean's Eleven (1960),1960
54167,Peeping Tom (1960),1960
54195,Pollyanna (1960),1960
54198,Pote tin Kyriaki (1960),1960
54215,Psycho (1960),1960
54269,Saturday Night and Sunday Morning (1960),1960
54286,Seishun zankoku monogatari (1960),1960
54310,Sink the Bismarck! (1960),1960
54331,Spartacus (1960),1960
54333,Ein Toter hing im Netz (1960),1960
54357,Swiss Family Robinson (1960),1960
54387,The Time Machine (1960),1960
54389,Tirez sur le pianiste (1960),1960
54407,Le trou (1960),1960
54462,The Wasp Woman (1959),1959
54599,Accattone (1961),1961
54632,L'année dernière à Marienbad (1961),1961
54652,Bachelor in Paradise (1961),1961
54692,Blue Hawaii (1961),1961
54698,Breakfast at Tiffany's (1961),1961
54743,The Children's Hour (1961),1961
54749,La ciociara (1960),1960
54885,Flower Drum Song (1961),1961
54949,La guerre des boutons (1962),1962
54953,The Guns of Navarone (1961),1961
54988,Homicidal (1961),1961
54997,The Hustler (1961),1961
55018,The Innocents (1961),1961
55019,The Intruder (1962),1962
55031,Judgment at Nuremberg (1961),1961
55032,Jules et Jim (1962),1962
55047,King of Kings (1961),1961
55205,Murder She Said (1961),1961
55233,Ningen no jôken (1961),1961
55252,An einem Freitag um halb zwölf (1961),1961
55254,One Hundred and One Dalmatians (1961),1961
55277,The Parent Trap (1961),1961
55307,The Pleasure of His Company (1961),1961
55342,The Pure Hell of St. Trinian's (1960),1960
55471,Splendor in the Grass (1961),1961
55499,Såsom i en spegel (1961),1961
55505,Taste of Fear (1961),1961
55506,A Taste of Honey (1961),1961
55535,Totòtruffa '62 (1961),1961
55572,Une femme est une femme (1961),1961
55601,Viridiana (1961),1961
55614,West Side Story (1961),1961
55630,Yôjinbô (1961),1961
55728,Advise & Consent (1962),1962
55798,Birdman of Alcatraz (1962),1962
55804,El vampiro sangriento (1962),1962
55830,Carnival of Souls (1962),1962
55852,Cléo de 5 à 7 (1962),1962
55894,The Day of the Triffids (1962),1962
55895,Days of Wine and Roses (1962),1962
55902,The Devil's Hand (1962),1962
55913,Divorzio all'italiana (1961),1961
55928,Dr. No (1962),1962
56023,Girls! Girls! Girls! (1962),1962
56058,Seppuku (1962),1962
56062,Hell Is for Heroes (1962),1962
56066,Heureux anniversaire (1962),1962
56085,How the West Was Won (1962),1962
56111,Ivanovo detstvo (1962),1962
56134,Kanchenjungha (1962),1962
56142,Kingu Kongu tai Gojira (1962),1962
56172,Lawrence of Arabia (1962),1962
56183,Light in the Piazza (1962),1962
56193,Lolita (1962),1962
56194,The Loneliness of the Long Distance Runner (1962),1962
56197,The Longest Day (1962),1962
56215,Mamma Roma (1962),1962
56217,The Man Who Shot Liberty Valance (1962),1962
56218,The Manchurian Candidate (1962),1962
56255,Mr. Hobbs Takes a Vacation (1962),1962
56262,The Music Man (1962),1962
56300,La rivière du hibou (1962),1962
56307,On the Beat (1962),1962
56352,Planeta Bur (1962),1962
56368,Premature Burial (1962),1962
56406,Requiem for a Heavyweight (1962),1962
56444,Sanma no aji (1962),1962
56552,Tales of Terror (1962),1962
56575,That Touch of Mink (1962),1962
56576,The Damned (1963),1963
56585,Tickle Me (1965),1965
56592,To Kill a Mockingbird (1962),1962
56663,Vivre sa vie: Film en douze tableaux (1962),1962
56687,What Ever Happened to Baby Jane? (1962),1962
56732,El ángel exterminador (1962),1962
56801,8½ (1963),1963
56868,Billy Liar (1963),1963
56869,The Birds (1963),1963
56923,Charade (1963),1963
56943,The Comedy of Terrors (1963),1963
56956,The Courtship of Eddie's Father (1963),1963
56983,Dementia 13 (1963),1963
56993,Diary of a Madman (1963),1963
